p,file,scenes,codec,frames_ts,BVP,fold
3,/p003/T3/video_ZIP_H264.mp4,T3,H264,/p003/T3/frames_timestamp.csv,/p003/T3/BVP.csv,3
3,/p003/T3/video_ZIP_MJPG.avi,T3,MJPG,/p003/T3/frames_timestamp.csv,/p003/T3/BVP.csv,3
4,/p004/E1/video_ZIP_H264.mp4,E1,H264,/p004/E1/frames_timestamp.csv,/p004/E1/BVP.csv,1
4,/p004/E1/video_ZIP_MJPG.avi,E1,MJPG,/p004/E1/frames_timestamp.csv,/p004/E1/BVP.csv,1
4,/p004/E2/video_ZIP_H264.mp4,E2,H264,/p004/E2/frames_timestamp.csv,/p004/E2/BVP.csv,1
4,/p004/E2/video_ZIP_MJPG.avi,E2,MJPG,/p004/E2/frames_timestamp.csv,/p004/E2/BVP.csv,1
4,/p004/E3/video_ZIP_H264.mp4,E3,H264,/p004/E3/frames_timestamp.csv,/p004/E3/BVP.csv,1
4,/p004/E3/video_ZIP_MJPG.avi,E3,MJPG,/p004/E3/frames_timestamp.csv,/p004/E3/BVP.csv,1
4,/p004/E4/video_ZIP_H264.mp4,E4,H264,/p004/E4/frames_timestamp.csv,/p004/E4/BVP.csv,1
4,/p004/E4/video_ZIP_MJPG.avi,E4,MJPG,/p004/E4/frames_timestamp.csv,/p004/E4/BVP.csv,1
4,/p004/E5/video_ZIP_H264.mp4,E5,H264,/p004/E5/frames_timestamp.csv,/p004/E5/BVP.csv,1
4,/p004/E5/video_ZIP_MJPG.avi,E5,MJPG,/p004/E5/frames_timestamp.csv,/p004/E5/BVP.csv,1
4,/p004/E6/video_ZIP_H264.mp4,E6,H264,/p004/E6/frames_timestamp.csv,/p004/E6/BVP.csv,1
4,/p004/E6/video_ZIP_MJPG.avi,E6,MJPG,/p004/E6/frames_timestamp.csv,/p004/E6/BVP.csv,1
4,/p004/R1/pictures_ZIP_RAW_RGB/00000000.png,R1,RGB,/p004/R1/frames_timestamp.csv,/p004/R1/BVP.csv,1
4,/p004/R1/video_ZIP_H264.mp4,R1,H264,/p004/R1/frames_timestamp.csv,/p004/R1/BVP.csv,1
4,/p004/R1/video_ZIP_MJPG.avi,R1,MJPG,/p004/R1/frames_timestamp.csv,/p004/R1/BVP.csv,1
4,/p004/R2/pictures_ZIP_RAW_RGB/00000000.png,R2,RGB,/p004/R2/frames_timestamp.csv,/p004/R2/BVP.csv,1
4,/p004/R2/video_ZIP_H264.mp4,R2,H264,/p004/R2/frames_timestamp.csv,/p004/R2/BVP.csv,1
4,/p004/R2/video_ZIP_MJPG.avi,R2,MJPG,/p004/R2/frames_timestamp.csv,/p004/R2/BVP.csv,1
4,/p004/R3/pictures_ZIP_RAW_RGB/00000000.png,R3,RGB,/p004/R3/frames_timestamp.csv,/p004/R3/BVP.csv,1
4,/p004/R3/video_ZIP_H264.mp4,R3,H264,/p004/R3/frames_timestamp.csv,/p004/R3/BVP.csv,1
4,/p004/R3/video_ZIP_MJPG.avi,R3,MJPG,/p004/R3/frames_timestamp.csv,/p004/R3/BVP.csv,1
4,/p004/R4/pictures_ZIP_RAW_RGB/00000000.png,R4,RGB,/p004/R4/frames_timestamp.csv,/p004/R4/BVP.csv,1
4,/p004/R4/video_ZIP_H264.mp4,R4,H264,/p004/R4/frames_timestamp.csv,/p004/R4/BVP.csv,1
4,/p004/R4/video_ZIP_MJPG.avi,R4,MJPG,/p004/R4/frames_timestamp.csv,/p004/R4/BVP.csv,1
4,/p004/T1/video_ZIP_H264.mp4,T1,H264,/p004/T1/frames_timestamp.csv,/p004/T1/BVP.csv,1
4,/p004/T1/video_ZIP_MJPG.avi,T1,MJPG,/p004/T1/frames_timestamp.csv,/p004/T1/BVP.csv,1
4,/p004/T2/video_ZIP_H264.mp4,T2,H264,/p004/T2/frames_timestamp.csv,/p004/T2/BVP.csv,1
4,/p004/T2/video_ZIP_MJPG.avi,T2,MJPG,/p004/T2/frames_timestamp.csv,/p004/T2/BVP.csv,1
4,/p004/T3/video_ZIP_H264.mp4,T3,H264,/p004/T3/frames_timestamp.csv,/p004/T3/BVP.csv,1
4,/p004/T3/video_ZIP_MJPG.avi,T3,MJPG,/p004/T3/frames_timestamp.csv,/p004/T3/BVP.csv,1
5,/p005_/E1/video_ZIP_H264.mp4,E1,H264,/p005_/E1/frames_timestamp.csv,/p005_/E1/BVP.csv,0
5,/p005_/E1/video_ZIP_MJPG.avi,E1,MJPG,/p005_/E1/frames_timestamp.csv,/p005_/E1/BVP.csv,0
5,/p005_/E2/video_ZIP_H264.mp4,E2,H264,/p005_/E2/frames_timestamp.csv,/p005_/E2/BVP.csv,0
5,/p005_/E2/video_ZIP_MJPG.avi,E2,MJPG,/p005_/E2/frames_timestamp.csv,/p005_/E2/BVP.csv,0
5,/p005_/E3/video_ZIP_H264.mp4,E3,H264,/p005_/E3/frames_timestamp.csv,/p005_/E3/BVP.csv,0
5,/p005_/E3/video_ZIP_MJPG.avi,E3,MJPG,/p005_/E3/frames_timestamp.csv,/p005_/E3/BVP.csv,0
5,/p005_/E4/video_ZIP_H264.mp4,E4,H264,/p005_/E4/frames_timestamp.csv,/p005_/E4/BVP.csv,0
5,/p005_/E4/video_ZIP_MJPG.avi,E4,MJPG,/p005_/E4/frames_timestamp.csv,/p005_/E4/BVP.csv,0
5,/p005_/E5/video_ZIP_H264.mp4,E5,H264,/p005_/E5/frames_timestamp.csv,/p005_/E5/BVP.csv,0
5,/p005_/E5/video_ZIP_MJPG.avi,E5,MJPG,/p005_/E5/frames_timestamp.csv,/p005_/E5/BVP.csv,0
5,/p005_/E6/video_ZIP_H264.mp4,E6,H264,/p005_/E6/frames_timestamp.csv,/p005_/E6/BVP.csv,0
5,/p005_/E6/video_ZIP_MJPG.avi,E6,MJPG,/p005_/E6/frames_timestamp.csv,/p005_/E6/BVP.csv,0
5,/p005_/R1/pictures_ZIP_RAW_RGB/00000000.png,R1,RGB,/p005_/R1/frames_timestamp.csv,/p005_/R1/BVP.csv,0
5,/p005_/R1/video_ZIP_H264.mp4,R1,H264,/p005_/R1/frames_timestamp.csv,/p005_/R1/BVP.csv,0
5,/p005_/R1/video_ZIP_MJPG.avi,R1,MJPG,/p005_/R1/frames_timestamp.csv,/p005_/R1/BVP.csv,0
5,/p005_/R2/pictures_ZIP_RAW_RGB/00000000.png,R2,RGB,/p005_/R2/frames_timestamp.csv,/p005_/R2/BVP.csv,0
5,/p005_/R2/video_ZIP_H264.mp4,R2,H264,/p005_/R2/frames_timestamp.csv,/p005_/R2/BVP.csv,0
5,/p005_/R2/video_ZIP_MJPG.avi,R2,MJPG,/p005_/R2/frames_timestamp.csv,/p005_/R2/BVP.csv,0
5,/p005_/R3/pictures_ZIP_RAW_RGB/00000000.png,R3,RGB,/p005_/R3/frames_timestamp.csv,/p005_/R3/BVP.csv,0
5,/p005_/R3/video_ZIP_H264.mp4,R3,H264,/p005_/R3/frames_timestamp.csv,/p005_/R3/BVP.csv,0
5,/p005_/R3/video_ZIP_MJPG.avi,R3,MJPG,/p005_/R3/frames_timestamp.csv,/p005_/R3/BVP.csv,0
5,/p005_/R4/pictures_ZIP_RAW_RGB/00000000.png,R4,RGB,/p005_/R4/frames_timestamp.csv,/p005_/R4/BVP.csv,0
5,/p005_/R4/video_ZIP_H264.mp4,R4,H264,/p005_/R4/frames_timestamp.csv,/p005_/R4/BVP.csv,0
5,/p005_/R4/video_ZIP_MJPG.avi,R4,MJPG,/p005_/R4/frames_timestamp.csv,/p005_/R4/BVP.csv,0
5,/p005_/T1/video_ZIP_H264.mp4,T1,H264,/p005_/T1/frames_timestamp.csv,/p005_/T1/BVP.csv,0
5,/p005_/T1/video_ZIP_MJPG.avi,T1,MJPG,/p005_/T1/frames_timestamp.csv,/p005_/T1/BVP.csv,0
5,/p005_/T3/video_ZIP_H264.mp4,T3,H264,/p005_/T3/frames_timestamp.csv,/p005_/T3/BVP.csv,0
5,/p005_/T3/video_ZIP_MJPG.avi,T3,MJPG,/p005_/T3/frames_timestamp.csv,/p005_/T3/BVP.csv,0
6,/p006/E1/video_ZIP_H264.mp4,E1,H264,/p006/E1/frames_timestamp.csv,/p006/E1/BVP.csv,1
6,/p006/E1/video_ZIP_MJPG.avi,E1,MJPG,/p006/E1/frames_timestamp.csv,/p006/E1/BVP.csv,1
6,/p006/E2/video_ZIP_H264.mp4,E2,H264,/p006/E2/frames_timestamp.csv,/p006/E2/BVP.csv,1
6,/p006/E2/video_ZIP_MJPG.avi,E2,MJPG,/p006/E2/frames_timestamp.csv,/p006/E2/BVP.csv,1
6,/p006/E3/video_ZIP_H264.mp4,E3,H264,/p006/E3/frames_timestamp.csv,/p006/E3/BVP.csv,1
6,/p006/E3/video_ZIP_MJPG.avi,E3,MJPG,/p006/E3/frames_timestamp.csv,/p006/E3/BVP.csv,1
6,/p006/E4/video_ZIP_H264.mp4,E4,H264,/p006/E4/frames_timestamp.csv,/p006/E4/BVP.csv,1
6,/p006/E4/video_ZIP_MJPG.avi,E4,MJPG,/p006/E4/frames_timestamp.csv,/p006/E4/BVP.csv,1
6,/p006/E5/video_ZIP_H264.mp4,E5,H264,/p006/E5/frames_timestamp.csv,/p006/E5/BVP.csv,1
6,/p006/E5/video_ZIP_MJPG.avi,E5,MJPG,/p006/E5/frames_timestamp.csv,/p006/E5/BVP.csv,1
6,/p006/E6/video_ZIP_H264.mp4,E6,H264,/p006/E6/frames_timestamp.csv,/p006/E6/BVP.csv,1
6,/p006/E6/video_ZIP_MJPG.avi,E6,MJPG,/p006/E6/frames_timestamp.csv,/p006/E6/BVP.csv,1
6,/p006/R1/pictures_ZIP_RAW_RGB/00000000.png,R1,RGB,/p006/R1/frames_timestamp.csv,/p006/R1/BVP.csv,1
6,/p006/R1/video_ZIP_H264.mp4,R1,H264,/p006/R1/frames_timestamp.csv,/p006/R1/BVP.csv,1
6,/p006/R1/video_ZIP_MJPG.avi,R1,MJPG,/p006/R1/frames_timestamp.csv,/p006/R1/BVP.csv,1
6,/p006/R2/pictures_ZIP_RAW_RGB/00000000.png,R2,RGB,/p006/R2/frames_timestamp.csv,/p006/R2/BVP.csv,1
6,/p006/R2/video_ZIP_H264.mp4,R2,H264,/p006/R2/frames_timestamp.csv,/p006/R2/BVP.csv,1
6,/p006/R2/video_ZIP_MJPG.avi,R2,MJPG,/p006/R2/frames_timestamp.csv,/p006/R2/BVP.csv,1
6,/p006/R3/pictures_ZIP_RAW_RGB/00000000.png,R3,RGB,/p006/R3/frames_timestamp.csv,/p006/R3/BVP.csv,1
6,/p006/R3/video_ZIP_H264.mp4,R3,H264,/p006/R3/frames_timestamp.csv,/p006/R3/BVP.csv,1
6,/p006/R3/video_ZIP_MJPG.avi,R3,MJPG,/p006/R3/frames_timestamp.csv,/p006/R3/BVP.csv,1
6,/p006/R4/pictures_ZIP_RAW_RGB/00000000.png,R4,RGB,/p006/R4/frames_timestamp.csv,/p006/R4/BVP.csv,1
6,/p006/R4/video_ZIP_H264.mp4,R4,H264,/p006/R4/frames_timestamp.csv,/p006/R4/BVP.csv,1
6,/p006/R4/video_ZIP_MJPG.avi,R4,MJPG,/p006/R4/frames_timestamp.csv,/p006/R4/BVP.csv,1
6,/p006/T1/video_ZIP_H264.mp4,T1,H264,/p006/T1/frames_timestamp.csv,/p006/T1/BVP.csv,1
6,/p006/T1/video_ZIP_MJPG.avi,T1,MJPG,/p006/T1/frames_timestamp.csv,/p006/T1/BVP.csv,1
6,/p006/T2/video_ZIP_H264.mp4,T2,H264,/p006/T2/frames_timestamp.csv,/p006/T2/BVP.csv,1
6,/p006/T2/video_ZIP_MJPG.avi,T2,MJPG,/p006/T2/frames_timestamp.csv,/p006/T2/BVP.csv,1
6,/p006/T3/video_ZIP_H264.mp4,T3,H264,/p006/T3/frames_timestamp.csv,/p006/T3/BVP.csv,1
6,/p006/T3/video_ZIP_MJPG.avi,T3,MJPG,/p006/T3/frames_timestamp.csv,/p006/T3/BVP.csv,1
7,/P007/E1/video_ZIP_H264.mp4,E1,H264,/P007/E1/frames_timestamp.csv,/P007/E1/BVP.csv,0
7,/P007/E1/video_ZIP_MJPG.avi,E1,MJPG,/P007/E1/frames_timestamp.csv,/P007/E1/BVP.csv,0
7,/P007/E2/video_ZIP_H264.mp4,E2,H264,/P007/E2/frames_timestamp.csv,/P007/E2/BVP.csv,0
7,/P007/E2/video_ZIP_MJPG.avi,E2,MJPG,/P007/E2/frames_timestamp.csv,/P007/E2/BVP.csv,0
7,/P007/E3/video_ZIP_H264.mp4,E3,H264,/P007/E3/frames_timestamp.csv,/P007/E3/BVP.csv,0
7,/P007/E3/video_ZIP_MJPG.avi,E3,MJPG,/P007/E3/frames_timestamp.csv,/P007/E3/BVP.csv,0
7,/P007/E4/video_ZIP_H264.mp4,E4,H264,/P007/E4/frames_timestamp.csv,/P007/E4/BVP.csv,0
7,/P007/E4/video_ZIP_MJPG.avi,E4,MJPG,/P007/E4/frames_timestamp.csv,/P007/E4/BVP.csv,0
7,/P007/E5/video_ZIP_H264.mp4,E5,H264,/P007/E5/frames_timestamp.csv,/P007/E5/BVP.csv,0
7,/P007/E5/video_ZIP_MJPG.avi,E5,MJPG,/P007/E5/frames_timestamp.csv,/P007/E5/BVP.csv,0
7,/P007/E6/video_ZIP_H264.mp4,E6,H264,/P007/E6/frames_timestamp.csv,/P007/E6/BVP.csv,0
7,/P007/E6/video_ZIP_MJPG.avi,E6,MJPG,/P007/E6/frames_timestamp.csv,/P007/E6/BVP.csv,0
7,/P007/R1/pictures_ZIP_RAW_RGB/00000000.png,R1,RGB,/P007/R1/frames_timestamp.csv,/P007/R1/BVP.csv,0
7,/P007/R1/video_ZIP_H264.mp4,R1,H264,/P007/R1/frames_timestamp.csv,/P007/R1/BVP.csv,0
7,/P007/R1/video_ZIP_MJPG.avi,R1,MJPG,/P007/R1/frames_timestamp.csv,/P007/R1/BVP.csv,0
7,/P007/R2/pictures_ZIP_RAW_RGB/00000000.png,R2,RGB,/P007/R2/frames_timestamp.csv,/P007/R2/BVP.csv,0
7,/P007/R2/video_ZIP_H264.mp4,R2,H264,/P007/R2/frames_timestamp.csv,/P007/R2/BVP.csv,0
7,/P007/R2/video_ZIP_MJPG.avi,R2,MJPG,/P007/R2/frames_timestamp.csv,/P007/R2/BVP.csv,0
7,/P007/R3/pictures_ZIP_RAW_RGB/00000000.png,R3,RGB,/P007/R3/frames_timestamp.csv,/P007/R3/BVP.csv,0
7,/P007/R3/video_ZIP_H264.mp4,R3,H264,/P007/R3/frames_timestamp.csv,/P007/R3/BVP.csv,0
7,/P007/R3/video_ZIP_MJPG.avi,R3,MJPG,/P007/R3/frames_timestamp.csv,/P007/R3/BVP.csv,0
7,/P007/R4/pictures_ZIP_RAW_RGB/00000000.png,R4,RGB,/P007/R4/frames_timestamp.csv,/P007/R4/BVP.csv,0
7,/P007/R4/video_ZIP_H264.mp4,R4,H264,/P007/R4/frames_timestamp.csv,/P007/R4/BVP.csv,0
7,/P007/R4/video_ZIP_MJPG.avi,R4,MJPG,/P007/R4/frames_timestamp.csv,/P007/R4/BVP.csv,0
7,/P007/T1/video_ZIP_H264.mp4,T1,H264,/P007/T1/frames_timestamp.csv,/P007/T1/BVP.csv,0
7,/P007/T1/video_ZIP_MJPG.avi,T1,MJPG,/P007/T1/frames_timestamp.csv,/P007/T1/BVP.csv,0
7,/P007/T2/video_ZIP_H264.mp4,T2,H264,/P007/T2/frames_timestamp.csv,/P007/T2/BVP.csv,0
7,/P007/T2/video_ZIP_MJPG.avi,T2,MJPG,/P007/T2/frames_timestamp.csv,/P007/T2/BVP.csv,0
7,/P007/T3/video_ZIP_H264.mp4,T3,H264,/P007/T3/frames_timestamp.csv,/P007/T3/BVP.csv,0
7,/P007/T3/video_ZIP_MJPG.avi,T3,MJPG,/P007/T3/frames_timestamp.csv,/P007/T3/BVP.csv,0
8,/p008_/E1/video_ZIP_H264.mp4,E1,H264,/p008_/E1/frames_timestamp.csv,/p008_/E1/BVP.csv,4
8,/p008_/E1/video_ZIP_MJPG.avi,E1,MJPG,/p008_/E1/frames_timestamp.csv,/p008_/E1/BVP.csv,4
8,/p008_/E2/video_ZIP_H264.mp4,E2,H264,/p008_/E2/frames_timestamp.csv,/p008_/E2/BVP.csv,4
